Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.4
Chipset,Intel 440FX- 82441FX PMC
Memory,7168MB
Disk,32GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-93-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: direct",72.4,72.4,71.5
"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: sync",69.1,70.0,68.7
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: direct",69.7,68.9,68.4
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: sync",69.1,70.2,67.7
"DD - Test: / - Block Size: 4G - Count: 2 - Oflag: direct",71.2,71.2,71.4
"DD - Test: / - Block Size: 4G - Count: 2 - Oflag: sync",70.2,66.8,68.7
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: direct",61.3,68.5,66.9
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: sync",66.3,72.1,73.1
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: direct",65.0,68.0,63.7
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: sync",64.8,66.5,71.1
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: direct",67.8,67.4,65.8
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: sync",66.1,71.4,72.7
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: direct",67.2,69.5,68.5
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: sync",70.7,68.6,71.3
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: direct",68.8,69.6,74.7
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: sync",73.7,74.5,74.2
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: direct",77.1,77.0,74.7
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: sync",71.2,75.7,72.9
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: direct",87.5,94.2,88.6,90.9
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: sync",73.2,74.4,73.6
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: direct",73.4,75.1,70.4
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: sync",76.3,75.4,74.0
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: direct",76.6,77.7,75.2
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: sync",73.0,74.1,74.2
"IPERF3 - Test: bouygues.testdebit.info",10.4,23.1,24.2,25.2,23.0,11.7,25.0,17.4,22.2,26.2
