pts-all-tests-20160805

 ,"pts-all-tests","pts-all-tests-2"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores),16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.4,OpenStack Foundation Nova v2015.1.4
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,16384MB,16384MB
Disk,158GB,158GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-92-generic (x86_64),3.13.0-92-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4

 ,"pts-all-tests","pts-all-tests-2"
"Parallel BZIP2 Compression - 256MB File Compression",9.93,7.70
"Smallpt - Global Illumination Renderer; 100 Samples",69,69
"Gzip Compression - 2GB File Compression",20.00,20.83
"Crafty - Elapsed Time",96.73,99.37
"FLAC Audio Encoding - WAV To FLAC",13.51,11.41
"LAME MP3 Encoding - WAV To MP3",20.18,19.73
"FFmpeg - H.264 HD To NTSC DV",34.71,32.06
"Tachyon - Total Time",10.65,10.41
"OpenSSL - RSA 4096-bit Performance",564.40,563.40
"Apache Benchmark - Static Web Page Serving",6385.52,5496.94

