Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: sync",64.7,65.3,65.4
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: direct",64.2,64.0,64.8
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: sync",64.6,66.5,65.2
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: direct",68.1,67.8,69.0
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: sync",65.8,64.3,64.5
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: direct",120,118,121
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: sync",63.6,64.5,63.8
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: direct",63.4,65.8,61.9
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: sync",65.7,62.0,65.9
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: direct",69.7,68.6,67.9,68.9
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: sync",65.4,66.1,66.2
"DD - Test: /mnt - Block Size: 8G - Count: 1 - Oflag: direct",65.6,68.5,65.6
"DD - Test: /mnt - Block Size: 8G - Count: 1 - Oflag: sync",67.3,64.3,56.7
"IPERF3 - Test: bouygues.testdebit.info",21.1,23.7,21.9,22.4,23.0,23.6,8.23,12.5,21.6,24.9
