ptsmemory-20160714

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
Processor,2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores)
Motherboard,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0
Chipset,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX
Memory,14336MB,14336MB,14336MB,14336MB
Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk
Graphics,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4
Screen Resolution,1152x864,1152x864,1152x864,1152x864
System Layer,Microsoft Hyper-V Server,Microsoft Hyper-V Server,Microsoft Hyper-V Server,Microsoft Hyper-V Server

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",,,36.23,
"PostMark - Disk Transaction Performance",,,1313,
"Gzip Compression - 2GB File Compression",,,47.10,
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",,,,2086.49
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",,,,1318.21
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",,,,2133.91
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",,,,902.79
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",,,,2199.44
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",,,,378.88
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",,,,2097.73
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",,,,964.93
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",,,,699.99
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",,,,793.78
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",,,,779.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",,,,575.26
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",,,,0.28
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",,,,0.51
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",,,,0.28
