Processor,2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores)
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.26
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.48
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",0.87
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",1.47
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",0.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",1.41
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",0.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",1.24
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",0.77
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",1.38
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1011.89
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",963.81
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",878.69
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",994.38
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",898.50
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1255.80
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",970.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1024.41
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",1487.53
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",345.75
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",1591.25
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",798.80
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.31
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",0.47
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.31
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",0.50
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",996.00
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",1098.01
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1191.96
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",604.97
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.36
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",0.57
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.35
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",0.51
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",0.85
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",1.36
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",1.01
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",1.55
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",0.93
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",1.48
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",1.00
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",1.39
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: direct",27.8
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: sync",30.8
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: direct",23.9
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: sync",25.7
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: direct",22.9
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: sync",26.8
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: direct",26.5
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: sync",23.8
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: direct",25.9
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: sync",27.8
"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: direct",26.4
"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: sync",34.2
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: direct",30.4
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: sync",26.1
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: direct",986,906,985
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: sync",199,333,367
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: direct",993.35,1065.32,1112,18
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: sync",372,382,333
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: direct",1177.70,1133.59,1133.95
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: sync",381,364,368
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: direct",1168.30,1195.37,1027.42
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: sync",367,377,389
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: direct",964,976.87,951
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: sync",373,352,355
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: direct",1065.10,1055.30,1095.76
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: sync",375,398,394
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: direct",1127.11,959.96,1165.08
"DD - Test: /mnt - Block Size: 2G - Count: 4 - Oflag: sync",399,399,403
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: direct",358,387,354
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: sync",377,362,377
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: direct",385,393,394
"DD - Test: /mnt - Block Size: 4G - Count: 2 - Oflag: sync",379,396,395
"DD - Test: /mnt - Block Size: 8G - Count: 1 - Oflag: direct",369,384,376
"DD - Test: /mnt - Block Size: 8G - Count: 1 - Oflag: sync",377,390,363
"IPERF3 - Test: bouygues.testdebit.info",233,234,233,233,233,233,233,233,233,233
